"Order ID","Order Date","Ship Date","Ship Mode","Customer ID","Customer Name","Segment","Country","City","State","Postal Code","Region","Category","Sub-Category","Sales","Quantity","Discount","Profit"
"ORD-1","06/29/2025","07/03/2025","Standard Class","CUST-1","Customer 1","Consumer","United States","City1","State1","10001","East","Furniture","Furnishings","835825112","4","0.2","103783218413744841.20"
"ORD-2","07/30/2024","08/03/2024","Standard Class","CUST-2","Customer 2","Consumer","United States","City2","State2","10002","South","Technology","Accessories","1585193472","6","0","171070454953366272.0"
"ORD-3","03/20/2025","03/25/2025","Standard Class","CUST-3","Customer 3","Consumer","United States","City3","State3","10003","Central","Furniture","Chairs","1456048308","7","0.3","130540828451304212.4"
"ORD-4","10/21/2024","10/22/2024","Standard Class","CUST-4","Customer 4","Consumer","United States","City4","State4","10004","Central","Furniture","Bookcases","1865788077","9","0.5","176789832263055368.2"
"ORD-5","10/15/2025","10/16/2025","Standard Class","CUST-5","Customer 5","Consumer","United States","City5","State5","10005","East","Furniture","Bookcases","1193323356","7","0.3","350166485346372731.40"
"ORD-6","11/21/2024","11/24/2024","Standard Class","CUST-6","Customer 6","Consumer","United States","City6","State6","10006","Central","Office Supplies","Envelopes","1534126518","5","0.5","394193882284760162.2"
"ORD-7","12/26/2024","12/27/2024","Standard Class","CUST-7","Customer 7","Consumer","United States","City7","State7","10007","West","Furniture","Tables","913137196","7","0.1","78257235073346436.4"
"ORD-8","03/18/2025","03/20/2025","Standard Class","CUST-8","Customer 8","Consumer","United States","City8","State8","10008","East","Furniture","Bookcases","368469012","2","0.3","65239688022647878.20"
"ORD-9","10/04/2025","10/10/2025","Standard Class","CUST-9","Customer 9","Consumer","United States","City9","State9","10009","Central","Technology","Accessories","595157535","1","0.1","16750190053509607.25"
"ORD-10","08/01/2025","08/07/2025","Standard Class","CUST-10","Customer 10","Consumer","United States","City10","State10","10010","West","Technology","Accessories","1700677304","8","0.2","82351007637361988"
"ORD-11","09/29/2025","09/30/2025","Standard Class","CUST-11","Customer 11","Consumer","United States","City11","State11","10011","East","Furniture","Tables","927757393","8","0.4","65336159112131326.75"
"ORD-12","06/16/2025","06/21/2025","Standard Class","CUST-12","Customer 12","Consumer","United States","City12","State12","10012","East","Furniture","Furnishings","343222799","5","0.3","108560389775139389.8"
"ORD-13","06/12/2024","06/17/2024","Standard Class","CUST-13","Customer 13","Consumer","United States","City13","State13","10013","East","Technology","Accessories","810239302","1","0","42379680610755861.2"
"ORD-14","12/04/2025","12/07/2025","Standard Class","CUST-14","Customer 14","Consumer","United States","City14","State14","10014","West","Technology","Accessories","1538009584","2","0.2","449933244858794388.0"
"ORD-15","02/13/2025","02/16/2025","Standard Class","CUST-15","Customer 15","Consumer","United States","City15","State15","10015","East","Furniture","Tables","1441892491","8","0.2","359385485797139538.9"
"ORD-16","10/14/2024","10/16/2024","Standard Class","CUST-16","Customer 16","Consumer","United States","City16","State16","10016","East","Technology","Machines","1932301314","2","0.4","432168811543413548.6"
"ORD-17","05/24/2024","05/28/2024","Standard Class","CUST-17","Customer 17","Consumer","United States","City17","State17","10017","Central","Furniture","Furnishings","2085503751","7","0","243925177628064546.45"
"ORD-18","01/19/2024","01/23/2024","Standard Class","CUST-18","Customer 18","Consumer","United States","City18","State18","10018","South","Technology","Copiers","1364424102","9","0.5","235141978103493675.70"
"ORD-19","04/19/2024","04/22/2024","Standard Class","CUST-19","Customer 19","Consumer","United States","City19","State19","10019","South","Furniture","Chairs","811895751","4","0.3","27069026402346127.35"
"ORD-20","08/30/2025","08/31/2025","Standard Class","CUST-20","Customer 20","Consumer","United States","City20","State20","10020","Central","Office Supplies","Art","984282902","8","0.2","222806931632351361.50"
"ORD-21","02/23/2024","02/24/2024","Standard Class","CUST-21","Customer 21","Consumer","United States","City21","State21","10021","Central","Technology","Phones","1794033677","6","0.2","292560372259333479.95"
"ORD-22","06/20/2025","06/21/2025","Standard Class","CUST-22","Customer 22","Consumer","United States","City22","State22","10022","East","Technology","Copiers","897000642","9","0.2","164568081417228800.8"
"ORD-23","11/13/2024","11/17/2024","Standard Class","CUST-23","Customer 23","Consumer","United States","City23","State23","10023","East","Office Supplies","Binders","1861884715","7","0.1","392284662900807833.5"
"ORD-24","10/04/2025","10/05/2025","Standard Class","CUST-24","Customer 24","Consumer","United States","City24","State24","10024","Central","Office Supplies","Binders","382810711","9","0.4","58103327180502592.3"
"ORD-25","11/21/2024","11/22/2024","Standard Class","CUST-25","Customer 25","Consumer","United States","City25","State25","10025","South","Technology","Phones","264315559","6","0.3","44327459577235093.7"
"ORD-26","04/01/2025","04/04/2025","Standard Class","CUST-26","Customer 26","Consumer","United States","City26","State26","10026","West","Furniture","Furnishings","255446011","8","0.5","23683595844073359.15"
"ORD-27","06/21/2025","06/22/2025","Standard Class","CUST-27","Customer 27","Consumer","United States","City27","State27","10027","West","Technology","Accessories","864570984","3","0","149321841239349886.80"
"ORD-28","04/23/2024","04/26/2024","Standard Class","CUST-28","Customer 28","Consumer","United States","City28","State28","10028","West","Office Supplies","Paper","720731540","3","0.1","188786986557079008.0"
"ORD-29","09/29/2024","10/02/2024","Standard Class","CUST-29","Customer 29","Consumer","United States","City29","State29","10029","Central","Furniture","Tables","2098405152","5","0.2","56975302104004160.80"
"ORD-30","09/08/2024","09/09/2024","Standard Class","CUST-30","Customer 30","Consumer","United States","City30","State30","10030","South","Office Supplies","Art","384207312","3","0.1","2946524526983577.2"
"ORD-31","02/22/2024","02/25/2024","Standard Class","CUST-31","Customer 31","Consumer","United States","City31","State31","10031","South","Furniture","Bookcases","511139059","6","0.4","39264372502991489.05"
"ORD-32","02/02/2024","02/03/2024","Standard Class","CUST-32","Customer 32","Consumer","United States","City32","State32","10032","Central","Office Supplies","Storage","1102813076","8","0","89868193671279575.2"
"ORD-33","10/08/2025","10/10/2025","Standard Class","CUST-33","Customer 33","Consumer","United States","City33","State33","10033","East","Furniture","Furnishings","2096995807","5","0.4","588553710139441205.05"
"ORD-34","06/30/2025","07/03/2025","Standard Class","CUST-34","Customer 34","Consumer","United States","City34","State34","10034","West","Office Supplies","Binders","2138854035","6","0.2","230547976462427908.0"
"ORD-35","03/28/2025","03/30/2025","Standard Class","CUST-35","Customer 35","Consumer","United States","City35","State35","10035","East","Furniture","Chairs","1760152445","5","0.5","563391077260011995.75"
"ORD-36","06/21/2024","06/25/2024","Standard Class","CUST-36","Customer 36","Consumer","United States","City36","State36","10036","Central","Technology","Machines","1532128667","2","0.5","49243600745932131.05"
"ORD-37","08/22/2025","08/24/2025","Standard Class","CUST-37","Customer 37","Consumer","United States","City37","State37","10037","South","Furniture","Chairs","1452578828","7","0.4","167819306870227396.20"
"ORD-38","04/19/2025","04/21/2025","Standard Class","CUST-38","Customer 38","Consumer","United States","City38","State38","10038","South","Technology","Copiers","1165022524","2","0.4","217798072188451702.0"
"ORD-39","09/06/2025","09/09/2025","Standard Class","CUST-39","Customer 39","Consumer","United States","City39","State39","10039","West","Furniture","Furnishings","728578108","1","0.3","93206543780138834.60"
"ORD-40","06/16/2024","06/20/2024","Standard Class","CUST-40","Customer 40","Consumer","United States","City40","State40","10040","South","Furniture","Bookcases","910171763","6","0.4","126442297829808583.65"
"ORD-41","08/02/2025","08/06/2025","Standard Class","CUST-41","Customer 41","Consumer","United States","City41","State41","10041","South","Technology","Phones","1680959796","5","0.5","375224218836194662"
"ORD-42","09/13/2025","09/14/2025","Standard Class","CUST-42","Customer 42","Consumer","United States","City42","State42","10042","East","Office Supplies","Binders","1419102344","9","0.3","336055075955727802"
"ORD-43","01/28/2025","02/03/2025","Standard Class","CUST-43","Customer 43","Consumer","United States","City43","State43","10043","East","Furniture","Bookcases","295111432","4","0.4","54918591776788268.8"
"ORD-44","02/13/2024","02/17/2024","Standard Class","CUST-44","Customer 44","Consumer","United States","City44","State44","10044","South","Furniture","Tables","1638858931","3","0.2","407997524316485037.15"
"ORD-45","09/07/2024","09/12/2024","Standard Class","CUST-45","Customer 45","Consumer","United States","City45","State45","10045","East","Office Supplies","Envelopes","1116057496","3","0.2","13980928088498833.20"
"ORD-46","08/01/2024","08/05/2024","Standard Class","CUST-46","Customer 46","Consumer","United States","City46","State46","10046","South","Technology","Copiers","451651145","4","0.3","140537171390381989.0"
